Time,Symbol,Direction,Price,SL,TP,Result,Code
2025-06-20 02:23:00,EURUSDm,BUY,1.15123,1.15023,1.15323,SUCCESS,10009
2025-06-20 02:26:00,EURUSDm,SELL,1.15210,1.15310,1.15010,FAILED,10030
